Current Projection,Party,State,Path,Name,Electoral Votes,Fixed Electoral,Value in %,X,X Adjusted,X for Text,Y,Y Adjusted
Republican,Republican,AK,38,Alaska,3,3,0.6%,416.550598145,516.550598145,516.550598145,435.886413574,531.886413574
Republican,Republican,AK,39,Alaska,3,3,0.6%,416.790710449,516.790710449,516.790710449,435.292999268,531.292999268
Republican,Republican,AK,40,Alaska,3,3,0.6%,417.030822754,517.030822754,517.030822754,434.699554443,530.699554443
Republican,Republican,AK,41,Alaska,3,3,0.6%,417.270935059,517.270935059,517.270935059,434.106140137,530.106140137
Republican,Republican,AK,42,Alaska,3,3,0.6%,417.511047363,517.511047363,517.511047363,433.512695313,529.512695313
Republican,Republican,AK,43,Alaska,3,3,0.6%,417.751159668,517.751159668,517.751159668,432.919281006,528.919281006
Republican,Republican,AK,44,Alaska,3,3,0.6%,417.991302490,517.991302490,517.991302490,432.325836182,528.325836182
Republican,Republican,AK,45,Alaska,3,3,0.6%,418.231414795,518.231414795,518.231414795,431.732421875,527.732421875
Republican,Republican,AK,46,Alaska,3,3,0.6%,418.471527100,518.471527100,518.471527100,431.138977051,527.138977051
Republican,Republican,AK,47,Alaska,3,3,0.6%,418.711639404,518.711639404,518.711639404,430.545562744,526.545562744
Republican,Republican,AK,48,Alaska,3,3,0.6%,418.951751709,518.951751709,518.951751709,429.952117920,525.952117920
Republican,Republican,AK,49,Alaska,3,3,0.6%,419.191864014,519.191864014,519.191864014,429.358703613,525.358703613
Republican,Republican,AK,50,Alaska,3,3,0.6%,419.431976318,519.431976318,519.431976318,428.765258789,524.765258789
Republican,Republican,AK,51,Alaska,3,3,0.6%,419.672088623,519.672088623,519.672088623,428.171844482,524.171844482
Republican,Republican,AK,52,Alaska,3,3,0.6%,419.912200928,519.912200928,519.912200928,427.578399658,523.578399658
Republican,Republican,AK,53,Alaska,3,3,0.6%,420.15234375,520.15234375,520.15234375,426.984985352,522.984985352
Republican,Republican,AK,54,Alaska,3,3,0.6%,420.392456055,520.392456055,520.392456055,426.391540527,522.391540527
Republican,Republican,AK,55,Alaska,3,3,0.6%,420.632568359,520.632568359,520.632568359,425.798095703,521.798095703
Republican,Republican,AK,56,Alaska,3,3,0.6%,420.872680664,520.872680664,520.872680664,425.204681396,521.204681396
Republican,Republican,AK,57,Alaska,3,3,0.6%,421.112792969,521.112792969,521.112792969,424.611267090,520.611267090
Republican,Republican,AK,58,Alaska,3,3,0.6%,421.352905273,521.352905273,521.352905273,424.017822266,520.017822266
Republican,Republican,AK,59,Alaska,3,3,0.6%,421.593017578,521.593017578,521.593017578,423.424377441,519.424377441
Republican,Republican,AK,60,Alaska,3,3,0.6%,421.833129883,521.833129883,521.833129883,422.830963135,518.830963135
Republican,Republican,AK,61,Alaska,3,3,0.6%,422.073242188,522.073242188,522.073242188,422.237518311,518.237518311
Republican,Republican,AK,62,Alaska,3,3,0.6%,422.313354492,522.313354492,522.313354492,421.644104004,517.644104004
Republican,Republican,AK,63,Alaska,3,3,0.6%,422.553497314,522.553497314,522.553497314,421.050659180,517.050659180
Republican,Republican,AK,64,Alaska,3,3,0.6%,422.793609619,522.793609619,522.793609619,420.457244873,516.457244873
Republican,Republican,AK,65,Alaska,3,3,0.6%,423.033721924,523.033721924,523.033721924,419.863800049,515.863800049
Republican,Republican,AK,66,Alaska,3,3,0.6%,423.273834229,523.273834229,523.273834229,419.270385742,515.270385742
Republican,Republican,AK,67,Alaska,3,3,0.6%,423.513946533,523.513946533,523.513946533,418.676940918,514.676940918
Republican,Republican,AK,68,Alaska,3,3,0.6%,423.754058838,523.754058838,523.754058838,418.083526611,514.083526611
Republican,Republican,AK,69,Alaska,3,3,0.6%,423.994171143,523.994171143,523.994171143,417.490081787,513.490081787
Republican,Republican,AK,70,Alaska,3,3,0.6%,424.234283447,524.234283447,524.234283447,416.896667480,512.896667480
Republican,Republican,AK,71,Alaska,3,3,0.6%,424.474395752,524.474395752,524.474395752,416.303222656,512.303222656
Republican,Republican,AK,72,Alaska,3,3,0.6%,424.714538574,524.714538574,524.714538574,415.709808350,511.709808350
Republican,Republican,AK,73,Alaska,3,3,0.6%,424.954650879,524.954650879,524.954650879,415.116363525,511.116363525
Republican,Republican,AK,74,Alaska,3,3,0.6%,425.194763184,525.194763184,525.194763184,414.522949219,510.522949219
Republican,Republican,AK,75,Alaska,3,3,0.6%,425.434875488,525.434875488,525.434875488,413.929504395,509.929504395
Republican,Republican,AK,76,Alaska,3,3,0.6%,425.674987793,525.674987793,525.674987793,413.336090088,509.336090088
Republican,Republican,AK,77,Alaska,3,3,0.6%,425.915100098,525.915100098,525.915100098,412.742645264,508.742645264
Republican,Republican,AK,78,Alaska,3,3,0.6%,426.155212402,526.155212402,526.155212402,412.149230957,508.149230957
Republican,Republican,AK,79,Alaska,3,3,0.6%,426.395324707,526.395324707,526.395324707,411.555786133,507.555786133
Republican,Republican,AK,80,Alaska,3,3,0.6%,426.635437012,526.635437012,526.635437012,410.962371826,506.962371826
Republican,Republican,AK,81,Alaska,3,3,0.6%,426.875549316,526.875549316,526.875549316,410.368927002,506.368927002
Republican,Republican,AK,82,Alaska,3,3,0.6%,427.115692139,527.115692139,527.115692139,409.775512695,505.775512695
Republican,Republican,AK,83,Alaska,3,3,0.6%,427.355804443,527.355804443,527.355804443,409.182067871,505.182067871
Republican,Republican,AK,84,Alaska,3,3,0.6%,427.595916748,527.595916748,527.595916748,408.588623047,504.588623047
Republican,Republican,AK,85,Alaska,3,3,0.6%,427.836029053,527.836029053,527.836029053,407.995208740,503.995208740
Republican,Republican,AK,86,Alaska,3,3,0.6%,428.076141357,528.076141357,528.076141357,407.401763916,503.401763916
Republican,Republican,AK,87,Alaska,3,3,0.6%,428.316253662,528.316253662,528.316253662,406.808349609,502.808349609
Republican,Republican,AK,88,Alaska,3,3,0.6%,428.556365967,528.556365967,528.556365967,406.214904785,502.214904785
Republican,Republican,AK,89,Alaska,3,3,0.6%,428.796478271,528.796478271,528.796478271,405.621490479,501.621490479
Republican,Republican,AK,90,Alaska,3,3,0.6%,429.036590576,529.036590576,529.036590576,405.028045654,501.028045654
Republican,Republican,AK,91,Alaska,3,3,0.6%,429.276733398,529.276733398,529.276733398,404.434631348,500.434631348
Republican,Republican,AK,92,Alaska,3,3,0.6%,429.516845703,529.516845703,529.516845703,403.841186523,499.841186523
Republican,Republican,AK,93,Alaska,3,3,0.6%,429.756958008,529.756958008,529.756958008,403.247772217,499.247772217
Republican,Republican,AK,94,Alaska,3,3,0.6%,429.997070313,529.997070313,529.997070313,402.654327393,498.654327393
Republican,Republican,AK,95,Alaska,3,3,0.6%,430.237182617,530.237182617,530.237182617,402.060913086,498.060913086
Republican,Republican,AK,96,Alaska,3,3,0.6%,430.477294922,530.477294922,530.477294922,401.467468262,497.467468262
Republican,Republican,AK,97,Alaska,3,3,0.6%,430.717407227,530.717407227,530.717407227,400.874053955,496.874053955
Republican,Republican,AK,98,Alaska,3,3,0.6%,430.957519531,530.957519531,530.957519531,400.280609131,496.280609131
Republican,Republican,AK,99,Alaska,3,3,0.6%,431.197631836,531.197631836,531.197631836,399.687194824,495.687194824
Republican,Republican,AK,100,Alaska,3,3,0.6%,431.437744141,531.437744141,531.437744141,399.09375,495.09375
Republican,Republican,AK,101,Alaska,3,3,0.6%,431.677886963,531.677886963,531.677886963,398.500335693,494.500335693
Republican,Republican,AK,102,Alaska,3,3,0.6%,431.917999268,531.917999268,531.917999268,397.906890869,493.906890869
Republican,Republican,AK,103,Alaska,3,3,0.6%,432.158111572,532.158111572,532.158111572,397.313476563,493.313476563
Republican,Republican,AK,104,Alaska,3,3,0.6%,432.398223877,532.398223877,532.398223877,396.720031738,492.720031738
Republican,Republican,AK,105,Alaska,3,3,0.6%,432.638336182,532.638336182,532.638336182,396.126617432,492.126617432
Republican,Republican,AK,106,Alaska,3,3,0.6%,432.878448486,532.878448486,532.878448486,395.533172607,491.533172607
Republican,Republican,AK,107,Alaska,3,3,0.6%,433.118560791,533.118560791,533.118560791,394.939727783,490.939727783
Republican,Republican,AK,108,Alaska,3,3,0.6%,433.358673096,533.358673096,533.358673096,394.346313477,490.346313477
Republican,Republican,AK,109,Alaska,3,3,0.6%,433.598785400,533.598785400,533.598785400,393.752868652,489.752868652
Republican,Republican,AK,110,Alaska,3,3,0.6%,433.838928223,533.838928223,533.838928223,393.159454346,489.159454346
Republican,Republican,AK,111,Alaska,3,3,0.6%,434.079040527,534.079040527,534.079040527,392.566009521,488.566009521
Republican,Republican,AK,112,Alaska,3,3,0.6%,434.319152832,534.319152832,534.319152832,391.972595215,487.972595215
Republican,Republican,AK,113,Alaska,3,3,0.6%,434.559265137,534.559265137,534.559265137,391.379150391,487.379150391
Republican,Republican,AK,114,Alaska,3,3,0.6%,434.799377441,534.799377441,534.799377441,390.785736084,486.785736084
Republican,Republican,AK,115,Alaska,3,3,0.6%,435.039489746,535.039489746,535.039489746,390.192291260,486.192291260
Republican,Republican,AK,116,Alaska,3,3,0.6%,435.279602051,535.279602051,535.279602051,389.598876953,485.598876953
Republican,Republican,AK,117,Alaska,3,3,0.6%,435.519714355,535.519714355,535.519714355,389.005432129,485.005432129
Republican,Republican,AK,118,Alaska,3,3,0.6%,435.759826660,535.759826660,535.759826660,388.412017822,484.412017822
Republican,Republican,AK,119,Alaska,3,3,0.6%,435.999938965,535.999938965,535.999938965,387.818572998,483.818572998
Republican,Republican,AK,120,Alaska,3,3,0.6%,436.240081787,536.240081787,536.240081787,387.225158691,483.225158691
Republican,Republican,AK,121,Alaska,3,3,0.6%,436.480194092,536.480194092,536.480194092,386.631713867,482.631713867
Republican,Republican,AK,122,Alaska,3,3,0.6%,436.720306396,536.720306396,536.720306396,386.038299561,482.038299561
Republican,Republican,AK,123,Alaska,3,3,0.6%,436.960418701,536.960418701,536.960418701,385.444854736,481.444854736
Republican,Republican,AK,124,Alaska,3,3,0.6%,437.200531006,537.200531006,537.200531006,384.851440430,480.851440430
Republican,Republican,AK,125,Alaska,3,3,0.6%,437.440643311,537.440643311,537.440643311,384.257995605,480.257995605
Republican,Republican,AK,126,Alaska,3,3,0.6%,437.680755615,537.680755615,537.680755615,383.664581299,479.664581299
Republican,Republican,AK,127,Alaska,3,3,0.6%,437.920867920,537.920867920,537.920867920,383.071136475,479.071136475
Republican,Republican,AK,128,Alaska,3,3,0.6%,438.160980225,538.160980225,538.160980225,382.477722168,478.477722168
Republican,Republican,AK,129,Alaska,3,3,0.6%,438.401123047,538.401123047,538.401123047,381.884277344,477.884277344
Republican,Republican,AK,130,Alaska,3,3,0.6%,437.965118408,537.965118408,537.965118408,381.682739258,477.682739258
Republican,Republican,AK,131,Alaska,3,3,0.6%,437.330841064,537.330841064,537.330841064,381.596160889,477.596160889
Republican,Republican,AK,132,Alaska,3,3,0.6%,436.696563721,536.696563721,536.696563721,381.509552002,477.509552002
Republican,Republican,AK,133,Alaska,3,3,0.6%,436.062286377,536.062286377,536.062286377,381.422973633,477.422973633
Republican,Republican,AK,134,Alaska,3,3,0.6%,435.427978516,535.427978516,535.427978516,381.336395264,477.336395264
Republican,Republican,AK,135,Alaska,3,3,0.6%,434.793701172,534.793701172,534.793701172,381.249786377,477.249786377
Republican,Republican,AK,136,Alaska,3,3,0.6%,434.159423828,534.159423828,534.159423828,381.163208008,477.163208008
Republican,Republican,AK,137,Alaska,3,3,0.6%,433.525146484,533.525146484,533.525146484,381.076599121,477.076599121
Republican,Republican,AK,138,Alaska,3,3,0.6%,432.890838623,532.890838623,532.890838623,380.990020752,476.990020752
Republican,Republican,AK,139,Alaska,3,3,0.6%,432.256561279,532.256561279,532.256561279,380.903411865,476.903411865
Republican,Republican,AK,140,Alaska,3,3,0.6%,431.622283936,531.622283936,531.622283936,380.816833496,476.816833496
Republican,Republican,AK,141,Alaska,3,3,0.6%,430.988006592,530.988006592,530.988006592,380.730224609,476.730224609
Republican,Republican,AK,142,Alaska,3,3,0.6%,430.353698730,530.353698730,530.353698730,380.643646240,476.643646240
Republican,Republican,AK,143,Alaska,3,3,0.6%,429.719421387,529.719421387,529.719421387,380.557067871,476.557067871
Republican,Republican,AK,144,Alaska,3,3,0.6%,429.085144043,529.085144043,529.085144043,380.470458984,476.470458984
Republican,Republican,AK,145,Alaska,3,3,0.6%,428.450866699,528.450866699,528.450866699,380.383880615,476.383880615
Republican,Republican,AK,146,Alaska,3,3,0.6%,427.816589355,527.816589355,527.816589355,380.297271729,476.297271729
Republican,Republican,AK,147,Alaska,3,3,0.6%,427.182312012,527.182312012,527.182312012,380.210693359,476.210693359
Republican,Republican,AK,148,Alaska,3,3,0.6%,426.548004150,526.548004150,526.548004150,380.124084473,476.124084473
Republican,Republican,AK,149,Alaska,3,3,0.6%,425.913726807,525.913726807,525.913726807,380.037506104,476.037506104
Republican,Republican,AK,150,Alaska,3,3,0.6%,425.279449463,525.279449463,525.279449463,379.950927734,475.950927734
Republican,Republican,AK,151,Alaska,3,3,0.6%,424.645141602,524.645141602,524.645141602,379.864318848,475.864318848
Republican,Republican,AK,152,Alaska,3,3,0.6%,424.010864258,524.010864258,524.010864258,379.777740479,475.777740479
Republican,Republican,AK,153,Alaska,3,3,0.6%,423.376586914,523.376586914,523.376586914,379.691131592,475.691131592
Republican,Republican,AK,154,Alaska,3,3,0.6%,422.742309570,522.742309570,522.742309570,379.604553223,475.604553223
Republican,Republican,AK,155,Alaska,3,3,0.6%,422.108032227,522.108032227,522.108032227,379.517944336,475.517944336
Republican,Republican,AK,156,Alaska,3,3,0.6%,421.473724365,521.473724365,521.473724365,379.431365967,475.431365967
Republican,Republican,AK,157,Alaska,3,3,0.6%,420.839447021,520.839447021,520.839447021,379.344787598,475.344787598
Republican,Republican,AK,158,Alaska,3,3,0.6%,420.205169678,520.205169678,520.205169678,379.258178711,475.258178711
Republican,Republican,AK,159,Alaska,3,3,0.6%,419.570892334,519.570892334,519.570892334,379.171600342,475.171600342
Republican,Republican,AK,160,Alaska,3,3,0.6%,418.936584473,518.936584473,518.936584473,379.084991455,475.084991455
Republican,Republican,AK,161,Alaska,3,3,0.6%,418.302307129,518.302307129,518.302307129,378.998413086,474.998413086
Republican,Republican,AK,162,Alaska,3,3,0.6%,417.668029785,517.668029785,517.668029785,378.911804199,474.911804199
Republican,Republican,AK,163,Alaska,3,3,0.6%,417.033752441,517.033752441,517.033752441,378.825225830,474.825225830
Republican,Republican,AK,164,Alaska,3,3,0.6%,416.399444580,516.399444580,516.399444580,378.738616943,474.738616943
Republican,Republican,AK,165,Alaska,3,3,0.6%,415.765167236,515.765167236,515.765167236,378.652038574,474.652038574
Republican,Republican,AK,166,Alaska,3,3,0.6%,415.130889893,515.130889893,515.130889893,378.565460205,474.565460205
Republican,Republican,AK,167,Alaska,3,3,0.6%,414.496612549,514.496612549,514.496612549,378.478851318,474.478851318
Republican,Republican,AK,168,Alaska,3,3,0.6%,413.862304688,513.862304688,513.862304688,378.392272949,474.392272949
Republican,Republican,AK,169,Alaska,3,3,0.6%,413.228027344,513.228027344,513.228027344,378.305664063,474.305664063
Republican,Republican,AK,170,Alaska,3,3,0.6%,412.59375,512.59375,512.59375,378.219085693,474.219085693
Republican,Republican,AK,171,Alaska,3,3,0.6%,411.959472656,511.959472656,511.959472656,378.132476807,474.132476807
Republican,Republican,AK,172,Alaska,3,3,0.6%,411.325195313,511.325195313,511.325195313,378.045898438,474.045898438
Republican,Republican,AK,173,Alaska,3,3,0.6%,410.690887451,510.690887451,510.690887451,377.959320068,473.959320068
Republican,Republican,AK,174,Alaska,3,3,0.6%,410.056610107,510.056610107,510.056610107,377.872711182,473.872711182
Republican,Republican,AK,175,Alaska,3,3,0.6%,409.422332764,509.422332764,509.422332764,377.786132813,473.786132813
Republican,Republican,AK,176,Alaska,3,3,0.6%,408.788055420,508.788055420,508.788055420,377.699523926,473.699523926
Republican,Republican,AK,177,Alaska,3,3,0.6%,408.153747559,508.153747559,508.153747559,377.612945557,473.612945557
Republican,Republican,AK,178,Alaska,3,3,0.6%,407.519470215,507.519470215,507.519470215,377.526336670,473.526336670
Republican,Republican,AK,179,Alaska,3,3,0.6%,406.885192871,506.885192871,506.885192871,377.439758301,473.439758301
Republican,Republican,AK,180,Alaska,3,3,0.6%,406.250915527,506.250915527,506.250915527,377.353149414,473.353149414
Republican,Republican,AK,181,Alaska,3,3,0.6%,405.616607666,505.616607666,505.616607666,377.266571045,473.266571045
Republican,Republican,AK,182,Alaska,3,3,0.6%,404.982330322,504.982330322,504.982330322,377.179992676,473.179992676
Republican,Republican,AK,183,Alaska,3,3,0.6%,404.348052979,504.348052979,504.348052979,377.093383789,473.093383789
Republican,Republican,AK,184,Alaska,3,3,0.6%,403.713775635,503.713775635,503.713775635,377.006805420,473.006805420
Republican,Republican,AK,185,Alaska,3,3,0.6%,403.079498291,503.079498291,503.079498291,376.920196533,472.920196533
Republican,Republican,AK,186,Alaska,3,3,0.6%,402.445190430,502.445190430,502.445190430,376.833618164,472.833618164
Republican,Republican,AK,187,Alaska,3,3,0.6%,401.810913086,501.810913086,501.810913086,376.747009277,472.747009277
Republican,Republican,AK,188,Alaska,3,3,0.6%,401.176635742,501.176635742,501.176635742,376.660430908,472.660430908
Republican,Republican,AK,189,Alaska,3,3,0.6%,400.542358398,500.542358398,500.542358398,376.573852539,472.573852539
Republican,Republican,AK,190,Alaska,3,3,0.6%,399.908081055,499.908081055,499.908081055,376.487243652,472.487243652
Republican,Republican,AK,191,Alaska,3,3,0.6%,399.273773193,499.273773193,499.273773193,376.400665283,472.400665283
Republican,Republican,AK,192,Alaska,3,3,0.6%,398.639495850,498.639495850,498.639495850,376.314056396,472.314056396
Republican,Republican,AK,193,Alaska,3,3,0.6%,398.005218506,498.005218506,498.005218506,376.227478027,472.227478027
Republican,Republican,AK,194,Alaska,3,3,0.6%,397.370910645,497.370910645,497.370910645,376.140869141,472.140869141
Republican,Republican,AK,195,Alaska,3,3,0.6%,396.736633301,496.736633301,496.736633301,376.054290771,472.054290771
Republican,Republican,AK,196,Alaska,3,3,0.6%,396.102355957,496.102355957,496.102355957,375.967712402,471.967712402
Republican,Republican,AK,197,Alaska,3,3,0.6%,395.468078613,495.468078613,495.468078613,375.881103516,471.881103516
Republican,Republican,AK,198,Alaska,3,3,0.6%,394.833801270,494.833801270,494.833801270,375.794525146,471.794525146
Republican,Republican,AK,199,Alaska,3,3,0.6%,394.199493408,494.199493408,494.199493408,375.707916260,471.707916260
Republican,Republican,AK,200,Alaska,3,3,0.6%,393.565216064,493.565216064,493.565216064,375.621337891,471.621337891
Republican,Republican,AK,201,Alaska,3,3,0.6%,392.930938721,492.930938721,492.930938721,375.534729004,471.534729004
Republican,Republican,AK,202,Alaska,3,3,0.6%,392.296661377,492.296661377,492.296661377,375.448150635,471.448150635
Republican,Republican,AK,203,Alaska,3,3,0.6%,391.662353516,491.662353516,491.662353516,375.361572266,471.361572266
Republican,Republican,AK,204,Alaska,3,3,0.6%,391.028076172,491.028076172,491.028076172,375.274963379,471.274963379
Republican,Republican,AK,205,Alaska,3,3,0.6%,390.393798828,490.393798828,490.393798828,375.188385010,471.188385010
Republican,Republican,AK,206,Alaska,3,3,0.6%,389.759521484,489.759521484,489.759521484,375.101776123,471.101776123
Republican,Republican,AK,207,Alaska,3,3,0.6%,389.125244141,489.125244141,489.125244141,375.015197754,471.015197754
Republican,Republican,AK,208,Alaska,3,3,0.6%,388.490936279,488.490936279,488.490936279,374.928588867,470.928588867
Republican,Republican,AK,209,Alaska,3,3,0.6%,387.856658936,487.856658936,487.856658936,374.842010498,470.842010498
Republican,Republican,AK,210,Alaska,3,3,0.6%,387.222381592,487.222381592,487.222381592,374.755432129,470.755432129
Republican,Republican,AK,211,Alaska,3,3,0.6%,386.588104248,486.588104248,486.588104248,374.668823242,470.668823242
Republican,Republican,AK,212,Alaska,3,3,0.6%,385.953826904,485.953826904,485.953826904,374.582244873,470.582244873
Republican,Republican,AK,213,Alaska,3,3,0.6%,385.319519043,485.319519043,485.319519043,374.495635986,470.495635986
Republican,Republican,AK,214,Alaska,3,3,0.6%,384.685241699,484.685241699,484.685241699,374.409057617,470.409057617
Republican,Republican,AK,215,Alaska,3,3,0.6%,384.050933838,484.050933838,484.050933838,374.322448730,470.322448730
Republican,Republican,AK,216,Alaska,3,3,0.6%,383.416656494,483.416656494,483.416656494,374.235870361,470.235870361
Republican,Republican,AK,217,Alaska,3,3,0.6%,382.782379150,482.782379150,482.782379150,374.149261475,470.149261475
Republican,Republican,AK,218,Alaska,3,3,0.6%,382.148101807,482.148101807,482.148101807,374.062683105,470.062683105
Republican,Republican,AK,219,Alaska,3,3,0.6%,381.513824463,481.513824463,481.513824463,373.976104736,469.976104736
Republican,Republican,AK,220,Alaska,3,3,0.6%,380.879516602,480.879516602,480.879516602,373.889495850,469.889495850
Republican,Republican,AK,221,Alaska,3,3,0.6%,380.245239258,480.245239258,480.245239258,373.802917480,469.802917480
Republican,Republican,AK,222,Alaska,3,3,0.6%,379.610961914,479.610961914,479.610961914,373.716308594,469.716308594
Republican,Republican,AK,223,Alaska,3,3,0.6%,378.976684570,478.976684570,478.976684570,373.629730225,469.629730225
Republican,Republican,AK,224,Alaska,3,3,0.6%,378.342407227,478.342407227,478.342407227,373.543121338,469.543121338
Republican,Republican,AK,225,Alaska,3,3,0.6%,377.708099365,477.708099365,477.708099365,373.456542969,469.456542969
Republican,Republican,AK,226,Alaska,3,3,0.6%,377.073822021,477.073822021,477.073822021,373.369964600,469.369964600
Republican,Republican,AK,227,Alaska,3,3,0.6%,376.439544678,476.439544678,476.439544678,373.283355713,469.283355713
Republican,Republican,AK,228,Alaska,3,3,0.6%,375.805267334,475.805267334,475.805267334,373.196777344,469.196777344
Republican,Republican,AK,229,Alaska,3,3,0.6%,375.170959473,475.170959473,475.170959473,373.110168457,469.110168457
Republican,Republican,AK,230,Alaska,3,3,0.6%,374.536682129,474.536682129,474.536682129,373.023590088,469.023590088
Republican,Republican,AK,231,Alaska,3,3,0.6%,374.399261475,474.399261475,474.399261475,373.471557617,469.471557617
Republican,Republican,AK,232,Alaska,3,3,0.6%,374.439331055,474.439331055,474.439331055,374.110473633,470.110473633
Republican,Republican,AK,233,Alaska,3,3,0.6%,374.479400635,474.479400635,474.479400635,374.749389648,470.749389648
Republican,Republican,AK,234,Alaska,3,3,0.6%,374.519470215,474.519470215,474.519470215,375.388275146,471.388275146
Republican,Republican,AK,235,Alaska,3,3,0.6%,374.559539795,474.559539795,474.559539795,376.027191162,472.027191162
Republican,Republican,AK,236,Alaska,3,3,0.6%,374.599609375,474.599609375,474.599609375,376.666107178,472.666107178
Republican,Republican,AK,237,Alaska,3,3,0.6%,374.639678955,474.639678955,474.639678955,377.305023193,473.305023193
Republican,Republican,AK,238,Alaska,3,3,0.6%,374.679748535,474.679748535,474.679748535,377.943939209,473.943939209
Republican,Republican,AK,239,Alaska,3,3,0.6%,374.719818115,474.719818115,474.719818115,378.582855225,474.582855225
Republican,Republican,AK,240,Alaska,3,3,0.6%,374.759887695,474.759887695,474.759887695,379.221740723,475.221740723
Republican,Republican,AK,241,Alaska,3,3,0.6%,374.799957275,474.799957275,474.799957275,379.860656738,475.860656738
Republican,Republican,AK,242,Alaska,3,3,0.6%,374.840026855,474.840026855,474.840026855,380.499572754,476.499572754
